ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
4,140733183194072,0,16,192,0,208,208,16,192,0,208,208,208
8,140733183194064,0,4,198,0,202,202,16,198,0,208,208,205
12,140733183194056,0,4,198,0,202,202,16,198,0,208,208,204
16,140733183194048,0,4,198,0,202,202,16,198,0,208,208,203
20,140733183194040,0,4,197,0,201,201,16,198,0,208,208,203
24,140733183194032,0,4,198,0,202,202,16,198,0,208,208,202
28,140733183194024,0,4,198,0,202,202,16,198,0,208,208,202
32,140441664757360,0,4,196,0,200,200,16,198,0,208,208,202
36,140441664756888,0,4,197,0,201,201,16,198,0,208,208,202
40,140441664757760,0,4,196,0,200,200,16,198,0,208,208,202
